date;time;status;reference;description;assetType;type;isin;shares;price;amount;fee;tax;currency
2026-05-04;08:14:01;Executed;"SCALsvJutcv6vMQ";"Boerse Stuttgart EUWAX Gold II";Security;Buy;DE000EWG2LD7;2;128,96;-257,92;0,00;0,00;EUR
2026-05-04;02:00:00;Executed;"HFYYVCYWLSNJTYFEPRICAQ";"Internal Transfer";Cash;Cash Transfer In;;;;400,00;0,00;;EUR
2026-05-04;02:00:00;Executed;"N7ANAVENSHGVUFYFFAWW89";"Internal Transfer";Cash;Cash Transfer In;;;;318,29;0,00;;EUR
2026-05-02;02:00:00;Executed;"74GXONKKQS17ZSBSPN6YYV";"Internal Transfer";Cash;Cash Transfer Out;;;;-2.000,00;0,00;;EUR
2026-05-02;02:00:00;Executed;"260502-QW7KT3BEF6BFJ6JI7N9TGK";"For investments";Cash;Deposit;;;;2.000,00;0,00;;EUR
2026-04-30;02:00:00;Executed;"WFGMULMU8FYE5K3KYQJAEZ";"Internal Transfer";Cash;Cash Transfer In;;;;200,00;0,00;;EUR
2026-04-30;02:00:00;Executed;"TAWNY56S3LMEIVU3GBQUWF";"Internal Transfer";Cash;Cash Transfer Out;;;;-400,00;0,00;;EUR
2026-04-28;14:30:42;Executed;"SCALbkVKsAMyUns";"Boerse Stuttgart EUWAX Gold II";Security;Buy;DE000EWG2LD7;2;128,84;-257,68;0,00;0,00;EUR
2026-04-28;02:00:00;Executed;"M3Y3ZNFXOKFNK91AFW7VXU";"Internal Transfer";Cash;Cash Transfer In;;;;500,00;0,00;;EUR
2026-04-27;11:29:10;Executed;"SCALkH5tszSnLe1";"Xtrackers Nasdaq 100 (Acc)";Security;Savings plan;IE00BMFKG444;4,635638;53,93;-249,99995734;0,00;0,00;EUR
2026-04-27;07:44:58;Executed;"SCALnTbJyQHkDbH";"Amazon.com";Security;Buy;US0231351067;1;225,30;-225,30;0,99;0,00;EUR
2026-04-27;07:37:44;Executed;"SCALhLZiBszaxEx";"Microsoft";Security;Buy;US5949181045;1;363,10;-363,10;0,00;0,00;EUR
2026-04-27;07:34:32;Executed;"SCALaowryXS9abN";"Netflix";Security;Buy;US64110L1061;4;78,85;-315,40;0,00;0,00;EUR
2026-04-27;02:00:00;Executed;"O4NBFKAARNSJBXTPFWZM5S";"Internal Transfer";Cash;Cash Transfer In;;;;700,00;0,00;;EUR
2026-04-25;02:00:00;Executed;"FTBIPDNYCKTRUKEW";"PRIME+ subscription";Cash;Fee;;;;-4,99;0,00;;EUR
2026-04-24;12:25:54;Executed;"SCAL1VPCLWuyrVh";"Boerse Stuttgart EUWAX Gold II";Security;Buy;DE000EWG2LD7;2;131,121;-262,242;0,00;0,00;EUR
2026-04-24;02:00:00;Executed;"RZYLZOXVBPYUD5AHNGYDNJ";"Internal Transfer";Cash;Cash Transfer In;;;;300,00;0,00;;EUR
2026-04-23;22:08:35;Executed;"SCALqLmRqLdpGpP";"Boerse Stuttgart EUWAX Gold II";Security;Buy;DE000EWG2LD7;2;132,318;-264,636;0,00;0,00;EUR
2026-04-21;11:08:31;Executed;"SCALcJcwMpDWcAx";"Microsoft";Security;Buy;US5949181045;1;356,90;-356,90;0,00;0,00;EUR
2026-04-21;10:44:30;Executed;"SCALFRsDyC5TRaq";"Boerse Stuttgart EUWAX Gold II";Security;Buy;DE000EWG2LD7;2;134,00;-268,00;0,00;0,00;EUR
2026-04-21;10:44:10;Cancelled;"SCALQot9n4uifvm";"Boerse Stuttgart EUWAX Gold II";Security;Buy;DE000EWG2LD7;0;0,00;0,00;0,00;0,00;EUR
2026-04-20;02:00:00;Executed;"260420-QDMFENHGLWODKRFRVXMKBS";"For investments";Cash;Deposit;;;;3.200,00;0,00;;EUR
